sub_type,difficulty_level,sentence_corpus,correct_answers,error_words
12,1,"If he {} alive, he would tell you.","{was, were}","{is, be, been}"
12,1,"If he {} alive, he would be here.","{was, were}","{are, be, been}"
12,1,"If he {} my father, I'd write him.","{was, were}","{are, be, been}"
12,1,"If he {} my father, I'd forgive him.","{was, were}","{are, be, been}"
12,1,"If he {} my brother, I'd help him.","{was, were}","{are, be, been}"
12,1,"If he {} a woman, he'd be beautiful.","{was, were}","{is, be, been}"
12,1,"If he {} here, he'd make us laugh.","{was, were}","{are, be, been}"
12,1,"If he {} in Spain, I'd invite him.","{was, were}","{are, be, been}"
12,2,"If he {} a few years older, he could join.","{was, were}","{is, be, been}"
12,2,"If he {} my father, I'd tell him how I felt.","{was, were}","{is, be, been}"
12,2,"If he {} my husband, I'd divorce him.","{was, were}","{are, be, been}"
12,2,"If he {} my son, I'd help him make better choices.","{was, were}","{are, be, been}"
12,2,"If he {} my brother, I wouldn't tell our parents what he did.","{was, were}","{is, be, been}"
12,2,"If he {} here now, he would be so proud of you.","{was, were}","{is, be, been}"
12,2,"If he {} going to be late, he would have called.","{was, were}","{is, be, been}"
12,2,"If he {} playing for the Yankees, he'd be more famous.","{was, were}","{is, be, been}"
12,2,"If he {} my friend, I'd tell him the truth.","{was, were}","{are, be, been}"
12,2,"If he {} on this team, I know we'd win.","{was, were}","{is, be, been}"
12,3,"If he {} just a few years older, he would be able to marry without permission.","{was, were}","{is, be, been}"
12,3,"If he {} just a few years older, he could apply for that training.","{was, were}","{is, be, been}"
12,3,"If he {} a few kilograms heavier, he would not qualify for the parachute training.","{was, were}","{is, be, been}"
12,3,"If he {} interested in playing professionally, he would be able to be on the Olympic team.","{was, were}","{are, be, been}"
12,3,"If he {} the first NHL draft pick, the team would gain a valuable player.","{was, were}","{are, be, been}"
12,3,"If he {} a banker, he might lose his job in this financial crisis.","{was, were}","{are, be, been}"
12,3,"If he {} here now, I know he would do anything for you.","{was, were}","{is, be, been}"
12,3,I can't help but wonder how things would be different if he {} here.,"{was, were}","{is, be, been}"
12,3,"He could fix this for us if he {} a programmer, but he can't write code.","{was, were}","{is, be, been}"
12,1,"If it {} me, I'd leave.","{was, were}","{is, be, been}"
12,1,"If it {} me, I'd quit.","{was, were}","{is, be, been}"
12,1,"If it {} me, I'd join.","{was, were}","{is, be, been}"
12,1,"If it {} me, I'd tell the truth.","{was, were}","{is, be, been}"
12,2,"If it {} mine, why did you take it?",{was},"{are, be, been, were}"
12,2,"If it {} mine, I'd gladly give it to you.","{was, were}","{are, be, been}"
12,2,"If it {} his, why did you give it to me?",{was},"{are, be, been, were}"
12,2,"If it {} Sunday, I'd happily sleep late.","{was, were}","{is, be, been}"
12,2,"If it {} possible, I would completely change all English grammar.","{was, were}","{is, be, been}"
12,2,"If it {} up to me, I'd go for it.","{was, were}","{are, be, been}"
12,2,"If it {} allowed, I'd let students use these software tools.","{was, were}","{are, be, been}"
12,2,"If it {} not safe, I would not let him go.","{was, were}","{are, be, been}"
12,2,"If it {} rated R, I would not have taken them to see it.","{was, were}","{is, be, been}"
12,2,"If it {} my job, I would try not to work so much overtime.","{was, were}","{is, be, been}"
12,3,"If it {} possible to make English an easier language to speak and learn, I would simplify it.","{was, were}","{is, be, been}"
12,3,"If it {} possible to eat more chocolate and stay fit, I would do it.","{was, were}","{are, be, been}"
12,3,"If it {} summer, we could stay up as late as we wanted.","{was, were}","{is, be, been}"
12,3,"If it {} not for the heavy snow, I'd gladly go with you.","{was, were}","{is, be, been}"
12,3,"If it {} up to me, we would stay right here for the holiday and not have to deal with all the traffic.","{was, were}","{are, be, been}"
12,3,"If it {} more dangerous to travel in that area, I would have asked him not to go.","{was, were}","{is, be, been}"
12,3,"If it {} not so important, she would not keep reminding you to work on it.","{was, were}","{is, be, been}"
12,3,"If it {} my project, I would have fired her a long time ago.","{was, were}","{is, be, been}"
12,1,Wouldn't it be great if they {} here?,{were},"{was, be, been}"
12,1,"If they {} puppies, I'd take one.",{were},"{was, be, been}"
12,1,"If they {} healthy, I'd eat them.",{were},"{was, be, been}"
12,1,"If they {} ripe, we could eat them.",{were},"{was, be, been}"
12,1,"If they {} safe, I could relax.",{were},"{was, be, been}"
12,1,"If they {} late, they should have called.","{were, are}","{was, be, been}"
12,1,I would know if they {} here.,{were},"{was, be, been}"
12,1,I would hear if they {} here.,{were},"{was, be, been}"
12,1,I would be happy if they {} here.,{were},"{was, be, been, are}"
12,1,I would be sad if they {} gone.,{were},"{was, be, been, are}"
12,2,"If they {} on sale, I would buy more than one.",{were},"{was, be, been}"
12,2,"If they {} too busy, they should have just said so.","{were, are}","{was, be, been}"
12,2,"If they {} at my house, I would have fed them.",{were},"{was, be, been, are}"
12,2,I would not know what to do if they {} arrested.,{were},"{was, be, been}"
12,2,I would buy many tickets if they {} for the charitable purposes.,{were},"{was, be, been}"
12,2,I would join the volunteer activities if they {} for the victims of the disaster.,{were},"{was, be, been}"
12,2,"If they {} in an earthquake, the cell phones might not work.","{were, are}","{was, be, been}"
12,2,"If they {} in a flood zone, they might not have survived.",{were},"{was, be, been, are}"
12,2,"If they {} still good, I would have eaten them.",{were},"{was, be, been, are}"
12,3,"If they {} just a little older, I wouldn't have to drive them to those early morning practice games.",{were},"{was, be, been}"
12,3,"If they {} my children, I would not allow them to run wild in public like that.",{were},"{was, be, been, are}"
12,3,"If they {} in Hawaii, they would feel much more relaxed.",{were},"{was, be, been}"
12,3,"If they {} still here, I know my parents would be proud of my sons.",{were},"{was, be, been}"
12,3,"If they {} not too expensive, I'd put solar panels on my house.",{were},"{was, be, been}"
12,3,"If they {} hoping to book a tennis court, they needed to call very early in the morning.",{were},"{was, be, been}"
12,3,"If they {} rude, I would just ignore them.",{were},"{was, be, been}"
12,3,"They said that if they {} in town, they would get in touch with us.",{were},"{was, be, been}"
12,3,"If they {} worried about flight delays, they should have checked the weather.",{were},"{was, be, been}"
12,1,"If we {} sisters, I'd be so happy!",{were},"{was, be, been, being}"
12,1,"If we {} married, we could live here.",{were},"{was, be, been, being}"
12,1,"If we {} men, they would listen.",{were},"{was, be, been, being}"
12,1,"If we {} taller, we could see.",{were},"{was, be, been, being}"
12,1,"If we {} richer, we could travel.",{were},"{was, be, been, being}"
12,1,"If we {} there, we could help you.",{were},"{was, be, been, being}"
12,1,"If we {} older, we'd be dead. Just kidding, ...we'd retire.",{were},"{was, be, been, being}"
12,1,"If we {} angels, we could love everyone.",{were},"{was, be, been, being}"
12,1,"If we {} younger, we'd do more sports.",{were},"{was, be, been, being}"
12,1,"If we {} younger, we'd travel more often.",{were},"{was, be, been, being}"
12,2,"If we {} stuck in that airport, we'd be so tired.",{were},"{was, be, been, being}"
12,2,"If we {} able to fly, I'd never walk.",{were},"{was, be, been, being}"
12,2,"If we {} musicians, wow...wouldn't that be great?",{were},"{was, be, been, being}"
12,2,"If we {} serious about fitness, we would exercise every morning.",{were},"{was, be, been, being}"
12,2,"If we {} smarter, we would have finished this by now.",{were},"{was, be, been, being}"
12,2,"If we {} wise, we would be grateful every day.",{were},"{was, be, been, being}"
12,2,"If we {} all alike, life would be boring.",{were},"{was, be, been, being}"
12,2,"If we {} all the same, would life be safer?",{were},"{was, be, been, being}"
12,2,"If we {} to come, what would we need to bring?",{were},"{was, be, been, being}"
12,2,"If we {} to buy it now, how much would it cost?",{were},"{was, be, been, being}"
12,3,"If we {} running the government, I'd make sure teachers made more money.",{were},"{was, be, been, being}"
12,3,"If we {} in charge of the government, I would pay more money to people who help people than to bankers.",{were},"{was, be, been, being}"
12,3,"If we {} to stop now, we could get home before dark.",{were},"{was, be, been, being}"
12,3,"If we {} foreigners, we would better understand how it feels to be the outsider.",{were},"{was, be, been, being}"
12,3,"If we {} here by ourselves, we could make lots of noise.",{were},"{was, be, been, being}"
12,3,"If we {} here by ourselves, we could turn the music up really loud.",{were},"{was, be, been, being}"
12,3,"If we {} really honest with ourselves, we would forgive others more than we do.",{were},"{was, be, been, being}"
12,3,"If we {} willing to risk it, we could climb up on the roof to watch the moon.",{were},"{was, be, been, being}"
12,3,"If we {} braver, we would stand up to people who discriminate against our Muslim neighbors.",{were},"{was, be, been, being}"
12,3,"If we {} better parents, we would have loved more and yelled less.",{were},"{was, be, been, being}"
7,1,I {} to sleep.,"{want, wanted}",{wanting}
7,1,Do you {} to go?,{want},{wanting}
7,1,He {} to eat soon.,"{wants, wanted}",{wanting}
7,1,I {} to visit Brazil.,"{want, wanted}",{wanting}
7,1,I {} to see the cherry blossoms in spring.,"{want, wanted}",{wanting}
7,1,I {} to eat sushi.,"{want, wanted}",{wanting}
7,1,She {} to play cards.,"{wants, wanted}",{wanting}
7,1,They {} to go home.,"{wants, wanted}",{wanting}
7,1,I {} to see a movie.,"{wants, wanted}",{wanting}
7,1,Do you {} to read this book?,{want},{wanting}
7,2,Many people {} to be rich and famous.,"{want, wanted}",{wanting}
7,2,She {} to enter her photos into the contest.,"{wants, wanted}",{wanting}
7,2,Her parents {} her to be a doctor.,"{want, wanted}",{wanting}
7,2,The survivors {} to find their missing family members.,"{want, wanted}",{wanting}
7,2,I {} to finish early so I could go to the park.,"{want, wanted}",{wanting}
7,2,His children {} him to take them all out for ice cream.,"{want, wanted}",{wanting}
7,2,She {} to make a difference in the lives of the orphans.,"{wants, wanted}",{wanting}
7,2,Many people don't really know what they {} to do.,{want},{wanting}
7,2,Do you {} to eat in front of the television tonight?,{want},{wanting}
7,3,I called but you were busy and I didn't {} to interrupt.,{want},{wanting}
7,3,So many high school graduates don't know what they {} to study at university.,{want},{wanting}
7,3,She {} to write a book but ended up just reading one instead.,{wanted},{wanting}
7,3,"I {} to know where it was, but I couldn't get an answer.",{wanted},{wanting}
7,3,I {} to hear about your trip to all those countries in Europe.,"{want, wanted}",{wanting}
7,3,She {} to study law but could not get a scholarship to law school.,"{wants, wanted}",{wanting}
7,3,Harry didn't {} to put his friends at risk when he faced his enemy.,{want},{wanting}
7,3,Everyone {} to eat there but no one wanted to pay the bill.,{wanted},{wanting}
7,3,I've always {} to know how so many people can live together so peacefully.,{wanted},{wanting}
7,1,We {} to understand.,"{began, begin}","{beginning,begun}"
7,1,I {} to see.,"{began, begin}","{beginning,begun}"
7,1,It {} to rain.,"{began, begins}","{beginning,begun}"
7,1,The water {} to rise.,"{began, begins}","{beginning,begun}"
7,1,He {} to cry.,"{began, begins}","{beginning,begun}"
7,1,The dog {} to bark.,"{began, begins}","{beginning,begun}"
7,1,The sun {} to rise.,"{began, begins}","{beginning,begun}"
7,1,The flowers {} to open.,"{began, begins}","{beginning,begun}"
7,1,The animals {} to run.,"{began, begins}","{beginning,begun}"
7,2,"As soon as the room {} to shake, we climbed under the table.",{began},"{beginning,begun}"
7,2,"By three o'clock, we all {} to watch the clock.","{began, begin}","{beginning,begun}"
7,2,We finally decided to sell the house when the roof {} to leak.,{began},"{beginning,begun}"
7,2,He {} to fear for their safety.,"{began, begins}","{beginning,begun}"
7,2,The choir stood and {} to sing.,{began},"{beginning,begun}"
7,2,"The tea kettle {} to whistle, so I took two cups from the shelf.",{began},"{beginning,begun}"
7,2,She {} to walk more and more slowly.,"{began, begins}","{beginning,begun}"
7,2,Her memory {} to fail until finally she no longer knew me.,{began},"{beginning,begun}"
7,2,"I {} to feel better, so I got some work done.",{began},"{beginning,begun}"
7,3,"Once that sort of mole {} to turn black, you really must see a doctor.",{begins},"{beginning,begun}"
7,3,"When it {} to rain, we raced inside, laughing.",{began},"{beginning,begun}"
7,3,"When the sky {} to darken, she closed all the windows and locked the doors.",{began},"{beginning,begun}"
7,3,"When he {} to cry, she picked him up and hugged him tightly.",{began},"{beginning,begun}"
7,3,"His mother {} to complain again, so he left the room.",{began},"{beginning,begun}"
7,3,"When the ink on the documents {} to fade, she knew it was time to change the printer cartridge.",{began},"{beginning,begun}"
7,3,"The music {} to play, the audience stood, and the graduates slowly walked into the auditorium.",{began},"{beginning,begun}"
7,3,"When the room {} to heat up, the students fell asleep one by one.",{began},"{beginning,begun}"
7,3,Susan placed more blankets around him when he {} to shiver.,{began},"{beginning,begun}"
7,1,Let's {} to read.,{try},{trying}
7,1,I {} to study Chinese.,"{try, tried}",{trying}
7,1,She {} to bake a cake.,"{tried, tries}",{trying}
7,1,He {} to sing a song.,"{tried, tries}",{trying}
7,1,The boys {} to fly the kite.,"{tried, try}",{trying}
7,1,I {} to clean up.,"{tried, try}",{trying}
7,1,Please {} to keep the noise down.,{try},{trying}
7,1,He {} not to cry.,"{tried, tries}",{trying}
7,1,Have you {} to drive a car?,{tried},{trying}
7,2,I {} to clean up the mess.,"{tried, try}",{trying}
7,2,I {} to convince her to stay here.,"{tried, try}",{trying}
7,2,I {} not to look but it was too tempting.,{tried},{trying}
7,2,"I {} not to listen, but they were speaking very loudly.",{tried},{trying}
7,2,I {} to stop the car but the road was wet.,{tried},{trying}
7,2,He {} to spread a message of kindness and compassion.,"{tries, tried}",{trying}
7,2,I {} to watch all the episodes but I got sleepy.,{tried},{trying}
7,2,She {} to dry the clothes in her room.,"{tried, tries}",{trying}
7,3,I {} to clean up the mess before she got home.,{tried},{trying}
7,3,I {} to do my homework but was distracted by my neighbor's loud television.,{tried},{trying}
7,3,"I {} to finish the book before it was due, but I just couldn't find the time.",{tried},{trying}
7,3,We {} to learn how to play that song by watching a YouTube video.,"{tried, try}",{trying}
7,3,"I {} to use an electric fan, but it was just too hot to sleep last night.",{tried},{trying}
7,3,"We {} our best to figure it out, but the instructions were very confusing.",{tried},{trying}
7,3,"We {} to do our best, but sometimes we make mistakes.","{try, tried}",{trying}
7,1,I {} to say something.,"{started, start}",{starting}
7,1,I {} to cry.,"{started, start}",{starting}
7,1,They {} to laugh.,"{started, start}",{starting}
7,1,The racers {} to run.,"{started, start}",{starting}
7,1,The glass {} to fall.,"{started, starts}",{starting}
7,1,The room {} to shake.,"{started, starts}",{starting}
7,1,The band {} to play.,"{started, starts}",{starting}
7,1,The presenter {} to speak.,"{started, starts}",{starting}
7,1,The soldiers {} to shoot.,"{started, start}",{starting}
7,1,The dogs {} to fight.,"{started, start}",{starting}
7,2,It {} to rain just as I walked outside.,{started},{starting}
7,2,She {} to speak and the door flew open.,{started},{starting}
7,2,I {} to clean out some closets but got distracted.,{started},{starting}
7,2,I {} to write a book and then forgot all about it.,{started},{starting}
7,2,I {} to apologize but she wouldn't listen.,{started},{starting}
7,2,I grabbed her arm just as she {} to fall.,{started},{starting}
7,2,"As soon as the movie ended, everyone {} to cry.",{started},{starting}
7,2,The sun {} to rise and the animals began to move around.,{started},{starting}
7,2,"She {} to protest, and then inexplicably, sat down again.",{started},{starting}
7,3,They were initially quite shy when they first {} to work together.,{started},{starting}
7,3,"Once it {} to rain, the traffic started to slow down to avoid accidents on the wet roads.",{started},{starting}
7,3,"The wind {} to blow from the southeast, bringing heavy rain with it.",{started},{starting}
7,3,"Before she {} to cook dinner, she waited until all the boys were home.",{started},{starting}
7,3,He {} to complain but his teacher just shook her head.,{started},{starting}
7,3,"Once she {} to become famous, it was difficult to go out without attracting photographers.",{started},{starting}
7,3,"She {} to glue the pieces back to together, but then realized it was hopeless.",{started},{starting}
7,3,"As soon as they heard the loudspeakers, the policemen {} to run toward the intersection.",{started},{starting}
7,3,He has {} to read several books at the same time but hasn't finished any yet.,{started},{starting}
7,1,I {} to sing.,"{like, liked}",{liking}
7,1,She {} to play the guitar.,"{likes, liked}",{liking}
7,1,They {} to play basketball in the afternoon.,"{like, liked}",{liking}
7,1,He {} to sleep late on Sundays.,"{likes, liked}",{liking}
7,1,We {} to go on vacation in the summer.,"{like, liked}",{liking}
7,1,Birds {} to eat fruit.,{like},{liking}
7,1,How would you {} to pay?,{like},{liking}
7,1,Would you {} to come with us?,{like},{liking}
7,1,Where would you {} to live?,{like},{liking}
7,1,What would you {} to drink?,{like},{liking}
7,2,I'd {} to make a donation to the campaign.,{like},{liking}
7,2,She {} to volunteer at the orphanage.,"{likes, liked}",{liking}
7,2,He {} to take very long hot showers.,"{likes, liked}",{liking}
7,2,Teens these days often {} to spend hours on Facebook.,{like},{liking}
7,2,I {} to finish all my work before dinner.,{like},{liking}
7,2,Tourists often {} to eat fish and chips in England.,{like},{liking}
7,2,She {} to shop when she gets depressed.,{likes},{liking}
7,2,He {} to find discount prices on brand goods.,"{likes, liked}",{liking}
7,2,We {} to take bus tours when we visit new cities.,{like},{liking}
7,2,I'd {} to know where my car keys are.,{like},{liking}
7,3,I'd {} to be able to get all this cleaned up before my mother comes to visit.,{like},{liking}
7,3,That teacher {} to assign a lot of homework on the weekends.,"{likes, liked}",{liking}
7,3,"On behalf of the committee, we would {} to present this award to Sandra for her great work.",{like},{liking}
7,3,We {} to watch people walking down the street in their colorful clothes.,"{like, liked}",{liking}
7,3,She {} to sit on the terrace and watch the sunset when the weather is clear.,{likes},{liking}
7,3,I would really {} to join you but I am busy that night.,{like},{liking}
7,1,I {} to sleep.,"{need, needed}",{needing}
7,1,I {} to go home.,"{need, needed}",{needing}
7,1,I {} to find a ride.,"{need, needed}",{needing}
7,1,I {} to buy a phone.,"{need, needed}",{needing}
7,1,He {} to call his parents.,"{needs, needed}",{needing}
7,1,She {} to use your phone.,"{needs, needed}",{needing}
7,1,I {} to see a doctor.,"{need, needed}",{needing}
7,1,I {} to get a job.,"{need, needed}",{needing}
7,1,I {} to find my cat.,"{need, needed}",{needing}
7,1,I {} to walk my dog.,"{need, needed}",{needing}
7,2,I {} to find out what this email means.,"{need, needed}",{needing}
7,2,We {} to make some decisions on what we will do this summer.,"{need, needed}",{needing}
7,2,I {} to go to the bank to check our account balance.,"{need, needed}",{needing}
7,2,I think I {} to lose a few more kilograms.,"{need, needed}",{needing}
7,2,I {} to eat something if you want me to think clearly.,{need},{needing}
7,2,She {} to find a ride home tonight.,"{needs, needed}",{needing}
7,2,He {} to know how much the tuition will cost.,"{needs, needed}",{needing}
7,2,They {} to pool their money to buy flowers for their mother.,"{need, needed}",{needing}
7,2,The company {} to take a good look at their business practices.,"{needs, needed}",{needing}
7,2,I {} to sell some of these books before I can buy more.,{need},{needing}
7,3,What we really {} to do is to figure out the priorities first.,"{need, needed}",{needing}
7,3,The movers {} to take an inventory before they could pack.,{needed},{needing}
7,3,We {} to get this invoice approved before it can be paid.,{need},{needing}
7,3,Most high school graduates {} a college degree if they want a good job.,{need},{needing}
7,3,"You {} to tell your doctor about any chest pains, or pains in your arm.",{need},{needing}
7,3,I don't {} you to tell me what to do.,{need},{needing}
7,3,Don't you {} to take these folders to your meeting?,{need},{needing}
7,3,Doesn't she {} to apply to more than one university?,{need},{needing}
7,3,We didn't {} to hear all about his medical complaints.,{need},{needing}
7,1,I {} to speak Japanese.,"{learned, learnt, learn}",{learning}
7,1,She {} to speak English.,"{learned, learnt, learns}","{learning, learn}"
7,1,They {} to write in Russian alphabet.,"{learned, learnt, learn}",{learning}
7,1,We {} to dance.,"{learned, learnt, learn}",{learning}
7,1,The dog {} to sit.,"{learned, learnt, learns}",{learning}
7,1,He is {} to play the guitar.,{learning},{learn}
7,1,My mother is {} to take it easy.,{learning},{learn}
7,1,I {} to ride a horse last summer.,"{learned, learnt}","{learning, learn}"
7,1,She is {} to drive.,{learning},{learn}
7,1,I am {} to pace myself.,{learning},{learn}
7,2,I am {} to say no to things I don't want to do.,{learning},{learn}
7,2,{} to play the guitar seemed very easy for him.,{learning},"{learn, learnt, learned}"
7,2,We {} to trust our instincts and not other people's opinions.,"{learned, learnt, learn}",{learning}
7,2,She {} to read when she was only three years old.,"{learned, learnt}","{learning, learns}"
7,2,{} to fly a plane is a long process.,{learning},"{learn, learned, learnt}"
7,2,"After the disaster, she {} to live day by day.","{learned, learnt, learns}","{learning, learn}"
7,2,{} to compromise is sometimes a hard lesson.,{learning},"{learns,learnt, learned}"
7,2,I never {} to ski but I did learn to skate.,"{learned, learnt}","{learning, learn}"
7,3,"While growing up in Europe, she {} to speak several languages.","{learned, learnt}","{learning, learn}"
7,3,I never {} to speak Japanese well in spite of living here for many years.,"{learned, learnt}","{learning, learn}"
7,3,Did you {} to drive a motorcycle a long time ago?,{learn},"{learning, learnt, learned}"
7,3,Didn't she {} to play the ukulele while she was in Australia?,{learn},"{learning, learnt, learned}"
7,3,Studies have shown that children who {} to read and write in pre-school do much better in life.,"{learn, learnt, learned}","{learning, learns}"
7,3,"After weeks of practice, they finally {} to do it perfectly.","{learned, learnt, learn}","{learning, learns}"
7,3,Mother always said I should {} to listen before I speak.,{learn},"{learning, learnt, learned}"
7,1,Don't {} to write.,{forget},"{forgotten, forgetting}"
7,1,Don't {} to call.,{forget},"{forgotten, forgetting}"
7,1,She {} to write it down.,"{forgot, forgets}","{forgotten, forgetting}"
7,1,He {} to send in his tax form.,"{forgot, forgets}","{forgotten, forgetting}"
7,1,We {} to bring the birthday gift.,"{forgot, forget}","{forgotten, forgetting}"
7,1,I {} to bring my umbrella.,"{forgot, forget}","{forgotten, forgetting}"
7,1,She {} to take out the garbage.,"{forgot, forgets}","{forgotten, forgetting}"
7,1,I {} to buy milk.,"{forgot, forget}","{forgotten, forgetting}"
7,1,He {} to lock the door.,"{forgot, forgets}","{forgotten, forgetting}"
7,1,We {} to close all the windows.,"{forgot, forget}","{forgotten, forgetting}"
7,2,Every morning she tells me not to {} my homework.,{forget},"{forgotten, forgetting}"
7,2,"If I {} to call her, please remind me.",{forget},"{forgotten, forgetting}"
7,2,Oh no! I {} to wish him a happy birthday!,{forgot},"{forgotten, forgetting}"
7,2,I {} to set my alarm last night.,{forgot},"{forgotten, forgetting}"
7,2,He {} to write down the appointment date.,"{forgot, forgets}","{forgotten, forgetting}"
7,2,She {} to take her umbrella and came home soaked.,{forgot},"{forgotten, forgetting}"
7,2,How could you {} to feed the cat?,{forget},"{forgotten, forgetting}"
7,2,Did you {} that I need to use the car today?,{forget},"{forgotten, forgetting}"
7,2,He didn't {} to bring her flowers for Mother's Day.,{forget},"{forgotten, forgetting}"
7,3,The campaign staff were reminding everyone not to {} to vote.,{forget},"{forgotten, forgot}"
7,3,They were all the way at the beach before she realized she had {} to bring her bathing suit.,{forgotten},"{forgetting, forget, forgot}"
7,3,She was so worried about missing her train that she {} to lock the door.,{forgot},"{forgotten, forgetting, forgets}"
7,3,Please don't {} to take out the trash tonight because the garbage truck comes very early in the morning.,{forget},"{forgotten, forgetting, forgot}"
7,3,He {} to tell me that he had used the credit card to pay for the tickets.,{forgot},"{forgotten, forgetting}"
7,3,Did you {} to submit the project by the deadline?,{forget},"{forgotten, forgetting, forgot}"
7,3,I am so glad you didn't {} to bring the cake!,{forget},"{forgotten, forgetting}"
7,3,He {} to walk the dog last night so now there is a big mess to clean.,{forgot},"{forgotten, forgetting, forgets}"
7,3,She {} to bring her lunch so she was hungry and distracted all day.,{forgot},"{forgotten, forgetting}"
7,3,I do not want to {} to call this woman back about the advertisement.,{forget},"{forgotten, forgetting, forgot}"
7,1,They {} to go to Canada.,"{planned, plan}",{planning}
7,1,He {} to study law.,"{planned, plans}",{planning}
7,1,She {} to become a doctor.,"{planned, plans}",{planning}
7,1,Let's {} to leave at 8.,{plan},{planning}
7,1,They {} to move this summer.,"{plan, planned}",{planning}
7,1,He {} to kill the president.,"{plans, planned}",{planning}
7,2,He never {} to make such a mess of things.,"{planned, plans}",{planning}
7,2,He {} to call you once he got into town.,{planned},{planning}
7,2,Is it difficult to {} to visit so many places on one holiday?,{plan},{planning}
7,2,Please {} to call me when you get home.,{plan},{planning}
7,3,I {} to organize all the closets once the kids are home for their summer break.,"{plan, planned}",{planning}
7,3,The company {} to offer a discount to seniors.,"{plans, planned}",{planning}
7,3,It's a good idea to {} to pay off some of your debts before you try to buy a house.,{plan},{planning}
7,3,I am sorry to hear the bank {} to take legal action against the restaurant.,{plans},{planning}
7,1,I {} to sleep late on the weekend.,"{love, loved}",{loving}
7,1,He {} to eat ice cream.,"{loves, loved}",{loving}
7,1,We {} to watch action movies.,"{love, loved}",{loving}
7,1,My friend {} to watch Korean dramas.,"{loves, loved}",{loving}
7,1,Some people {} to go fishing.,"{love, loved}",{loving}
7,1,He {} to lie in the sun.,"{loves, loved}",{loving}
7,1,I would {} to come with you.,{love},{loving}
7,1,Dan {} to travel abroad.,"{loves, loved}",{loving}
7,1,My cat {} to have his ears rubbed.,"{loves, loved}",{loving}
7,1,I {} to shop.,"{love, loved}",{loving}
7,2,He {} to eat and drink until late in the night.,"{loves, loved}",{loving}
7,2,I {} to read all kinds of books.,"{love, loved}",{loving}
7,2,We would {} to join you for dinner.,{love},{loving}
7,2,We {} to invite our friends over.,"{love, loved}",{loving}
7,2,I {} to listen to his deep and smooth voice.,"{love, loved}",{loving}
7,2,I would {} to live in a house like this one.,{love},{loving}
7,2,She {} to go to flea markets.,"{loves, loved}",{loving}
7,2,The boys {} to play the Xbox on the weekends.,"{love, loved}",{loving}
7,2,I {} to listen to him play the guitar for me.,"{love, loved}",{loving}
7,2,I'd {} to come but I can't.,{love},{loving}
7,3,I {} to curl up with a good book on a rainy day.,"{love, loved}",{loving}
7,3,We would {} to join you but we have another commitment that day.,{love},{loving}
7,3,My son {} to read travel books and dream about going to exotic places.,"{loves, loved}",{loving}
7,3,We {} having dinner parties even though it is a lot of work.,{love},{loving}
7,3,I would {} to have the chance to work with your company.,{love},{loving}
7,3,People {} to gather under the cherry blossoms for lunch parties.,"{love, loved}",{loving}
7,3,Japanese and Americans both {} to watch baseball games.,"{love, loved}",{loving}
7,3,We {} to cheer for our favorite hockey team during the playoffs.,"{love, loved}",{loving}
7,3,The spectators {} to bang plastic bats during the games.,"{love, loved}",{loving}
7,1,I {} to go to France one day.,"{hope, hoped}",{hoping}
7,1,They {} to marry soon.,"{hope, hoped}",{hoping}
7,1,I {} to graduate on time.,"{hope, hoped}",{hoping}
7,1,She {} to go to graduate school.,"{hopes, hoped}",{hoping}
7,1,They {} to find the missing watch.,"{hoped, hope}",{hoping}
7,1,I {} to become a teacher.,"{hoped, hope}",{hoping}
7,1,My son {} to go to college.,"{hopes, hoped}",{hoping}
7,1,I {} to see you again.,"{hope, hoped}",{hoping}
7,1,They {} to see you before you left.,{hoped},{hoping}
7,1,I {} to find a new apartment.,"{hope, hoped}",{hoping}
7,2,I {} to be able to come.,"{hope, hoped}",{hoping}
7,2,I {} to send out all the invitations by tonight.,"{hope, hoped}",{hoping}
7,2,Everyone {} to avoid another mistake.,"{hopes, hoped}",{hoping}
7,2,The students {} to raise money for their team.,"{hope, hoped}",{hoping}
7,2,We {} to get started before dark.,"{hope, hoped}",{hoping}
7,2,We {} to meet at the ski park and go skiing together.,"{hope, hoped}",{hoping}
7,2,She {} to get to bed early tonight.,"{hopes, hoped}",{hoping}
7,2,We {} to finish this project by the deadline.,"{hope, hoped}",{hoping}
7,2,She {} to find a good job at the job fair.,"{hopes, hoped}",{hoping}
7,3,I {} to get some sleep but the baby made too much noise.,{hoped},{hoping}
7,3,We {} to see that movie but I heard the tickets might be sold out.,"{hope, hoped}",{hoping}
7,3,"I {} to lose some weight before summer, but I guess I didn't do enough exercise.",{hoped},{hoping}
7,3,I don't know what you {} to accomplish by doing that.,"{hope, hoped}",{hoping}
7,3,She {} to get some help carrying all these bags up the stairs.,"{hopes, hoped}",{hoping}
7,3,The candidate {} to get a seat in the next general election.,"{hopes, hoped}",{hoping}
6,1,{} video games teaches goal strategies.,{playing},{Play}
6,1,Many people enjoy {}.,{reading},{read}
6,1,{} for a long time is hard.,{Waiting},{Wait}
6,1,{} can be fun.,{Learning},{Learn}
6,1,{} is a winter sport.,{Skiing},{Ski}
6,1,{} to class is important.,{Going},{Go}
6,1,{} can get you into trouble.,{Cheating},{Cheat}
6,1,{} sick is an awful feeling.,{Being},{Be}
6,1,{} is something I enjoy doing.,{Driving},{Drive}
6,2,I know that {} the lectures is important.,{attending},{attend}
